"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KPADIOAM_00981",918.465678167922,0.427417670306736,0.0826103808354082,5.17389783202085,2.29260217418978e-07,3.83936952617831e-07
"KPADIOAM_01692",38.9404138261308,-1.68854155834959,0.326435315730744,-5.17266814275193,2.30774669794494e-07,3.86246767195588e-07
"KPADIOAM_02701",1694.1261508437,0.386855532845048,0.0751593123917466,5.14714039464163,2.64487377674315e-07,4.42412434435315e-07
"KPADIOAM_01716",219.46463426091,0.753105052892022,0.146422666480619,5.14336387250334,2.69862213884072e-07,4.51138879500757e-07
"KPADIOAM_01693",25.5651814387289,-2.06855465806796,0.402587346759588,-5.1381511980386,2.77454608455249e-07,4.63560126524355e-07
"KPADIOAM_03161",36.3695996177739,-1.69464188562513,0.330172560003545,-5.1325945608773,2.85775069264885e-07,4.77182567439963e-07
"KPADIOAM_02167",25.1394559519708,2.06203929589801,0.402462098608243,5.12356145592034,2.99817862651922e-07,5.00338571026018e-07
"KPADIOAM_02288",119.351506332884,0.880236773540932,0.171933828383161,5.11962527571534,3.06143349178245e-07,5.10596350614272e-07
"KPADIOAM_02946",18.7666891173865,2.49937319356879,0.488657890544953,5.11477097153078,3.14121856866935e-07,5.23597517543076e-07
"KPADIOAM_00023",2736.1157681516,0.307783058788742,0.060377794539004,5.09762009590984,3.43950207444395e-07,5.72982940331567e-07
"KPADIOAM_00049",1543.02478474503,0.359861747023515,0.0707027575124494,5.08978376069916,3.58472060798187e-07,5.96826735256655e-07
"KPADIOAM_02788",324.092789249143,0.599374908448041,0.118232778812015,5.06944786776112,3.98971396679734e-07,6.63867955919627e-07
"KPADIOAM_02486",171.373406378567,-0.801534573248996,0.1583683145114,-5.06120542939351,4.16614027754486e-07,6.92820883174951e-07
"KPADIOAM_01801",75.5181506997896,-1.08716182663261,0.215559903456302,-5.04343251783369,4.572540742667e-07,7.59962123432205e-07
"KPADIOAM_01582",4358.6808292144,0.330889802264088,0.0656344905017196,5.04140124703823,4.62135322639664e-07,7.67628265570652e-07
"KPADIOAM_02247",527.798791642323,0.521430013801801,0.103530410859203,5.03649130216362,4.74142644765736e-07,7.87115360892335e-07
"KPADIOAM_02002",50.8552562185425,1.31145660502353,0.260454741677311,5.0352571682045,4.77207730593027e-07,7.91743604125597e-07
"KPADIOAM_01329",3219.20309790053,-0.341046880603815,0.0677394682766847,-5.0346849374547,4.78635394998216e-07,7.93651377544923e-07
"KPADIOAM_00257",489.168671856232,0.475480670724783,0.0948813811708895,5.0113169186313,5.40587999420073e-07,8.95858418992546e-07
"KPADIOAM_00968",369.408672474734,-0.522022517985136,0.10461808944219,-4.98979211691299,6.04443049456025e-07,1.0010978506063e-06
"KPADIOAM_02808",55.6803791662733,1.25823125317437,0.252556750389061,4.98197435323378,6.29387782140955e-07,1.0418081654558e-06
"KPADIOAM_00101",101.396424863952,-0.91658690954104,0.184153453388501,-4.97729959810937,6.44774819889114e-07,1.06665990759884e-06
"KPADIOAM_01802",63.0073556617292,1.29359969207881,0.259941690029076,4.97649950623199,6.47444414292265e-07,1.0704564187691e-06
"KPADIOAM_00768",3858.05048953037,0.287937338142578,0.0580852603781611,4.95714982196821,7.15348139976329e-07,1.18204143199096e-06
"KPADIOAM_03024",421.74149885641,0.518828745634668,0.104807040547569,4.95032340312279,7.40902601132047e-07,1.22355996036662e-06
"KPADIOAM_00115",1350.31202015517,0.365491126734965,0.0739039141103907,4.94549079212542,7.59522607846606e-07,1.25358526321072e-06
"KPADIOAM_01098",13.7294901009904,5.42521427508163,1.10059106131327,4.92936428959186,8.24976188126591e-07,1.36082965905177e-06
"KPADIOAM_00295",68.1148435618155,1.23424647424644,0.25063390623149,4.92449921403079,8.45766688350756e-07,1.39431934715413e-06
"KPADIOAM_00800",700.537844039122,-0.447491313743485,0.0909237538045247,-4.92161063549508,8.5834855864918e-07,1.41424557788968e-06
"KPADIOAM_02287",324.508857688559,0.581869042852383,0.118326451523323,4.91748916122692,8.76613089188669e-07,1.44350639528071e-06
"KPADIOAM_02245",471.253256214893,0.51784120837031,0.105752561207177,4.89672498196826,9.74470675917722e-07,1.60372276560883e-06
"KPADIOAM_00100",359.856532906714,-0.569269274597625,0.116288041977235,-4.89533803234102,9.81368911111359e-07,1.61414564136163e-06
"KPADIOAM_00151",53.0044771700512,1.24916929821077,0.255297360782644,4.89299730471672,9.93117670992868e-07,1.63253002648252e-06
"KPADIOAM_01783",1387.60947516886,-0.374584280680994,0.0768449503320802,-4.87454646092233,1.09058717202333e-06,1.79172372079968e-06
"KPADIOAM_02450",2618.65646305954,-0.292689411759968,0.0601104707210694,-4.86919181049397,1.12055598731761e-06,1.83990141136001e-06
"KPADIOAM_01186",6265.97546012954,0.297685520894654,0.0612352563032225,4.86134195994193,1.16592643556271e-06,1.91329800482634e-06
"KPADIOAM_02498",229.004667153861,-0.871053374448275,0.179742902453954,-4.84610720399053,1.25907499077393e-06,2.06496971793405e-06
"KPADIOAM_01167",7805.31547452407,0.260379652052354,0.0537388174555511,4.84528064406556,1.26432832088684e-06,2.07239587651963e-06
"KPADIOAM_02580",7.00648177421874,6.3391472483728,1.30895499825219,4.84290694243674,1.27953223262518e-06,2.09611444301041e-06
"KPADIOAM_02329",217.767380485882,0.865550979669202,0.178756363682857,4.84207086022868,1.28492922668887e-06,2.10374945595995e-06
"KPADIOAM_01175",3373.75319652427,0.28971148844823,0.0599077438378726,4.8359605935465,1.32504172213404e-06,2.1681810997348e-06
"KPADIOAM_01648",3453.80303574206,0.330565168494677,0.0683712870466131,4.83485367577342,1.33243609021929e-06,2.1787489080157e-06
"KPADIOAM_02925",56.1157089295358,1.26697773435959,0.262055661703218,4.83476573688555,1.33302523318566e-06,2.1787489080157e-06
